paperID,proceedingID,edition,venue,year,month,day
21161,50011,2,City ###,2018,5,11
21162,50012,1,City ###,2019,11,6
21163,50013,18,City ###,2012,12,17
21164,50014,18,City ###,2020,1,14
21165,50015,6,City ###,2021,1,30
21166,50016,10,City ###,2019,5,29
21167,50017,20,City ###,2011,2,31
21168,50018,2,City ###,2015,4,21
21169,50019,5,City ###,2019,11,14
21170,50020,13,City ###,2014,12,16
21171,50021,19,City ###,2018,3,19
21172,50022,15,City ###,2010,11,29
21173,50023,6,City ###,2015,1,27
21174,50024,6,City ###,2014,10,11
21175,50025,6,City ###,2018,2,28
21176,50001,15,City ###,2014,12,16
21177,50002,1,City ###,2021,1,21
21178,50003,17,City ###,2019,6,17
21179,50004,7,City ###,2012,3,11
21180,50005,19,City ###,2012,2,26
21181,50006,1,City ###,2013,5,7
21182,50007,18,City ###,2017,12,8
21183,50008,12,City ###,2011,12,8
21184,50009,8,City ###,2017,7,25
21185,50010,15,City ###,2012,3,17
21186,50011,4,City ###,2020,11,30
21187,50012,4,City ###,2015,9,17
21188,50013,13,City ###,2015,2,27
21189,50014,8,City ###,2011,5,9
21190,50015,5,City ###,2019,12,14
21191,50016,11,City ###,2017,6,21
21192,50017,6,City ###,2015,11,15
21193,50018,2,City ###,2010,3,20
21194,50019,18,City ###,2016,11,11
21195,50020,11,City ###,2015,4,6
21196,50021,15,City ###,2015,2,31
21197,50022,21,City ###,2013,8,9
21198,50023,10,City ###,2010,2,30
21199,50024,1,City ###,2011,4,21
21200,50025,17,City ###,2013,8,3
21201,50001,1,City ###,2017,11,30
21202,50002,5,City ###,2015,10,26
21203,50003,9,City ###,2018,2,10
21204,50004,12,City ###,2015,4,16
21205,50005,15,City ###,2011,9,24
21206,50006,18,City ###,2020,5,16
21207,50007,12,City ###,2017,12,19
21208,50008,3,City ###,2010,6,27
21209,50009,13,City ###,2020,4,7
21210,50010,18,City ###,2019,4,7
21211,50011,8,City ###,2018,3,18
21212,50012,11,City ###,2011,5,16
21213,50013,5,City ###,2011,9,11
21214,50014,6,City ###,2019,12,14
21215,50015,8,City ###,2012,1,3
21216,50016,10,City ###,2019,6,13
21217,50017,8,City ###,2014,1,1
21218,50018,1,City ###,2019,1,27
21219,50019,20,City ###,2018,7,20
21220,50020,3,City ###,2012,2,9
21221,50021,19,City ###,2011,8,22
21222,50022,19,City ###,2017,1,25
21223,50023,4,City ###,2013,5,9
21224,50024,2,City ###,2016,1,13
21225,50025,5,City ###,2017,11,5
21226,50001,3,City ###,2018,11,30
21227,50002,2,City ###,2019,6,20
21228,50003,14,City ###,2011,2,3
21229,50004,5,City ###,2013,2,11
21230,50005,7,City ###,2015,11,10
21231,50006,5,City ###,2017,3,5
21232,50007,20,City ###,2015,10,2
21233,50008,3,City ###,2014,4,20
21234,50009,16,City ###,2016,7,24
21235,50010,14,City ###,2017,3,12
21236,50011,7,City ###,2012,8,18
21237,50012,9,City ###,2020,11,11
21238,50013,2,City ###,2013,3,17
21239,50014,12,City ###,2014,9,13
21240,50015,17,City ###,2018,10,13
21241,50016,9,City ###,2012,7,2
21242,50017,15,City ###,2016,9,23
21243,50018,6,City ###,2019,10,28
21244,50019,3,City ###,2012,11,9
21245,50020,9,City ###,2016,8,28
21246,50021,17,City ###,2019,5,20
21247,50022,2,City ###,2021,7,18
21248,50023,17,City ###,2015,5,19
21249,50024,20,City ###,2020,4,31
21250,50025,21,City ###,2010,1,7
21251,50001,1,City ###,2014,12,4
21252,50002,14,City ###,2014,6,3
21253,50003,9,City ###,2017,9,24
21254,50004,11,City ###,2018,12,19
21255,50005,15,City ###,2020,12,12
21256,50006,11,City ###,2019,4,7
21257,50007,19,City ###,2021,8,21
21258,50008,20,City ###,2019,1,14
21259,50009,11,City ###,2016,4,13
21260,50010,12,City ###,2015,8,12
21261,50011,9,City ###,2017,9,24
21262,50012,5,City ###,2021,8,25
21263,50013,11,City ###,2019,6,11
21264,50014,2,City ###,2019,3,28
21265,50015,17,City ###,2020,10,17
21266,50016,20,City ###,2019,1,21
21267,50017,7,City ###,2020,2,3
21268,50018,14,City ###,2014,5,26
21269,50019,1,City ###,2019,10,21
21270,50020,17,City ###,2017,4,13
21271,50021,3,City ###,2011,2,8
21272,50022,5,City ###,2016,6,4
21273,50023,14,City ###,2017,10,23
21274,50024,18,City ###,2010,5,17
21275,50025,4,City ###,2020,6,13
21276,50001,3,City ###,2019,9,3
21277,50002,18,City ###,2020,4,4
21278,50003,10,City ###,2016,8,29
21279,50004,2,City ###,2020,4,5
21280,50005,16,City ###,2011,1,22
21281,50006,5,City ###,2019,12,8
21282,50007,13,City ###,2010,2,17
21283,50008,12,City ###,2018,5,24
21284,50009,5,City ###,2018,7,14
21285,50010,4,City ###,2021,2,11
21286,50011,8,City ###,2012,8,22
21287,50012,13,City ###,2016,7,28
21288,50013,9,City ###,2010,7,15
21289,50014,19,City ###,2010,7,29
21290,50015,17,City ###,2019,6,13
21291,50016,6,City ###,2020,2,3
21292,50017,14,City ###,2020,10,17
21293,50018,18,City ###,2013,4,4
21294,50019,11,City ###,2014,6,19
21295,50020,6,City ###,2012,11,15
21296,50021,6,City ###,2018,5,15
21297,50022,19,City ###,2012,10,20
21298,50023,3,City ###,2012,3,18
21299,50024,16,City ###,2018,4,17
21300,50025,9,City ###,2015,9,25
21301,50001,2,City ###,2021,5,13
21302,50002,19,City ###,2017,7,13
21303,50003,8,City ###,2013,9,26
21304,50004,3,City ###,2014,4,26
21305,50005,18,City ###,2014,4,12
21306,50006,6,City ###,2016,2,20
21307,50007,12,City ###,2020,2,9
21308,50008,1,City ###,2012,1,6
21309,50009,21,City ###,2020,6,23
21310,50010,14,City ###,2021,10,20
21311,50011,9,City ###,2017,12,13
21312,50012,12,City ###,2017,9,28
21313,50013,11,City ###,2012,7,5
21314,50014,7,City ###,2010,12,19
21315,50015,9,City ###,2016,10,28
21316,50016,3,City ###,2014,1,13
21317,50017,17,City ###,2021,6,28
21318,50018,15,City ###,2016,11,22
21319,50019,3,City ###,2016,5,4
21320,50020,16,City ###,2011,7,23
21321,50021,5,City ###,2020,6,26
21322,50022,14,City ###,2017,10,31
21323,50023,19,City ###,2013,12,23
21324,50024,12,City ###,2013,1,16
21325,50025,6,City ###,2010,6,18
21326,50001,14,City ###,2021,7,8
21327,50002,7,City ###,2013,8,4
21328,50003,10,City ###,2020,10,20
21329,50004,4,City ###,2016,3,18
21330,50005,17,City ###,2018,3,12
21331,50006,3,City ###,2012,2,16
21332,50007,9,City ###,2014,11,17
21333,50008,4,City ###,2013,4,19
21334,50009,4,City ###,2019,4,31
21335,50010,18,City ###,2012,6,22
21336,50011,21,City ###,2018,3,23
21337,50012,11,City ###,2016,2,5
21338,50013,20,City ###,2014,1,28
21339,50014,12,City ###,2016,9,19
21340,50015,11,City ###,2012,2,9
21341,50016,2,City ###,2011,7,21
21342,50017,18,City ###,2013,12,24
21343,50018,18,City ###,2011,7,14
21344,50019,19,City ###,2012,7,10
21345,50020,1,City ###,2014,6,16
21346,50021,15,City ###,2020,4,8
21347,50022,17,City ###,2016,8,2
21348,50023,10,City ###,2014,4,20
21349,50024,13,City ###,2015,6,7
21350,50025,2,City ###,2011,12,30
21351,50001,7,City ###,2020,11,2
21352,50002,9,City ###,2011,10,29
21353,50003,21,City ###,2018,12,24
21354,50004,13,City ###,2019,7,3
21355,50005,3,City ###,2019,9,29
21356,50006,20,City ###,2015,9,24
21357,50007,19,City ###,2019,5,18
21358,50008,8,City ###,2019,3,19
21359,50009,10,City ###,2018,8,6
21360,50010,8,City ###,2012,4,20
21361,50011,4,City ###,2018,2,23
21362,50012,6,City ###,2020,5,23
21363,50013,5,City ###,2020,2,16
21364,50014,15,City ###,2010,10,14
21365,50015,6,City ###,2018,11,7
21366,50016,15,City ###,2020,7,8
21367,50017,1,City ###,2013,1,26
21368,50018,3,City ###,2015,2,23
21369,50019,18,City ###,2010,7,16
21370,50020,14,City ###,2018,3,13
21371,50021,5,City ###,2016,8,13
21372,50022,2,City ###,2021,6,21
21373,50023,8,City ###,2016,6,30
21374,50024,11,City ###,2018,12,18
21375,50025,11,City ###,2018,2,30
21376,50001,18,City ###,2013,10,8
21377,50002,3,City ###,2014,6,26
21378,50003,15,City ###,2013,6,15
21379,50004,5,City ###,2012,4,28
21380,50005,1,City ###,2010,1,30
21381,50006,12,City ###,2010,1,23
21382,50007,9,City ###,2018,4,6
21383,50008,8,City ###,2017,10,5
21384,50009,13,City ###,2017,5,14
21385,50010,21,City ###,2014,8,19
21386,50011,20,City ###,2019,2,30
21387,50012,10,City ###,2021,9,18
21388,50013,19,City ###,2013,1,28
21389,50014,7,City ###,2016,7,24
21390,50015,1,City ###,2019,2,2
21391,50016,20,City ###,2017,12,5
21392,50017,16,City ###,2017,1,23
21393,50018,13,City ###,2015,12,19
21394,50019,10,City ###,2018,7,23
21395,50020,3,City ###,2019,4,11
21396,50021,15,City ###,2016,8,3
21397,50022,18,City ###,2012,12,15
21398,50023,17,City ###,2012,3,25
21399,50024,20,City ###,2012,4,27
21400,50025,10,City ###,2015,10,20
21401,50001,11,City ###,2014,8,21
21402,50002,6,City ###,2016,6,5
21403,50003,10,City ###,2014,11,17
21404,50004,17,City ###,2010,9,22
21405,50005,4,City ###,2016,11,2
21406,50006,14,City ###,2021,10,27
21407,50007,9,City ###,2016,10,8
21408,50008,8,City ###,2010,9,24
21409,50009,12,City ###,2016,12,14
21410,50010,2,City ###,2010,7,6
21411,50011,15,City ###,2021,3,28
21412,50012,18,City ###,2017,2,16
21413,50013,11,City ###,2016,12,29
21414,50014,9,City ###,2021,7,6
21415,50015,12,City ###,2013,1,31
21416,50016,10,City ###,2010,12,16
21417,50017,10,City ###,2015,2,6
21418,50018,3,City ###,2020,10,25
21419,50019,11,City ###,2013,2,25
21420,50020,6,City ###,2018,12,5
21421,50021,16,City ###,2012,11,15
21422,50022,13,City ###,2011,1,25
21423,50023,13,City ###,2021,10,27
21424,50024,12,City ###,2013,10,3
21425,50025,1,City ###,2012,6,17
21426,50001,14,City ###,2018,3,30
21427,50002,15,City ###,2016,6,1
21428,50003,21,City ###,2021,7,23
21429,50004,8,City ###,2010,5,6
21430,50005,1,City ###,2010,12,2
21431,50006,1,City ###,2019,3,1
21432,50007,1,City ###,2014,3,20
21433,50008,2,City ###,2019,12,2
21434,50009,3,City ###,2010,2,18
21435,50010,11,City ###,2013,5,15
21436,50011,16,City ###,2010,12,22
21437,50012,19,City ###,2016,1,28
21438,50013,20,City ###,2017,10,10
21439,50014,18,City ###,2019,2,29
21440,50015,8,City ###,2011,6,1
21441,50016,3,City ###,2013,12,13
21442,50017,12,City ###,2011,3,29
21443,50018,18,City ###,2021,10,9
21444,50019,18,City ###,2010,2,26
21445,50020,14,City ###,2017,10,31
21446,50021,12,City ###,2010,12,3
21447,50022,9,City ###,2016,3,1
21448,50023,9,City ###,2011,12,25
21449,50024,13,City ###,2017,10,10
21450,50025,18,City ###,2020,11,5
21451,50001,19,City ###,2014,12,30
21452,50002,14,City ###,2021,7,23
21453,50003,12,City ###,2010,12,31
21454,50004,2,City ###,2010,1,12
21455,50005,13,City ###,2018,4,10
21456,50006,8,City ###,2015,5,6
21457,50007,11,City ###,2014,5,8
21458,50008,19,City ###,2020,6,19
21459,50009,9,City ###,2012,8,11
21460,50010,3,City ###,2013,2,10
21461,50011,16,City ###,2019,6,17
21462,50012,21,City ###,2017,7,21
21463,50013,21,City ###,2012,8,9
21464,50014,3,City ###,2014,2,31
21465,50015,3,City ###,2012,8,2
21466,50016,12,City ###,2018,7,25
21467,50017,8,City ###,2012,6,8
21468,50018,18,City ###,2021,11,28
21469,50019,5,City ###,2013,1,10
21470,50020,2,City ###,2021,11,12
21471,50021,14,City ###,2017,9,10
21472,50022,12,City ###,2012,7,31
21473,50023,21,City ###,2016,1,31
21474,50024,7,City ###,2013,3,13
21475,50025,5,City ###,2013,6,6
21476,50001,14,City ###,2014,2,30
21477,50002,6,City ###,2011,5,20
21478,50003,5,City ###,2016,10,13
21479,50004,20,City ###,2019,4,27
21480,50005,13,City ###,2011,3,25
21481,50006,9,City ###,2019,5,20
21482,50007,3,City ###,2010,8,1
21483,50008,5,City ###,2021,9,14
21484,50009,13,City ###,2014,1,17
21485,50010,5,City ###,2014,1,1
21486,50011,3,City ###,2018,8,28
21487,50012,20,City ###,2017,8,24
21488,50013,13,City ###,2014,10,27
21489,50014,7,City ###,2015,11,8
21490,50015,19,City ###,2020,4,2
21491,50016,7,City ###,2010,5,11
21492,50017,9,City ###,2010,9,18
21493,50018,3,City ###,2020,4,31
21494,50019,2,City ###,2017,4,8
21495,50020,1,City ###,2019,3,7
21496,50021,18,City ###,2012,12,8
21497,50022,12,City ###,2016,4,1
21498,50023,9,City ###,2016,1,23
21499,50024,5,City ###,2011,4,22
21500,50025,1,City ###,2014,10,27
21501,50001,20,City ###,2019,6,12
21502,50002,17,City ###,2018,3,21
21503,50003,3,City ###,2021,2,5
21504,50004,8,City ###,2017,11,15
21505,50005,15,City ###,2015,7,13
21506,50006,16,City ###,2015,3,4
21507,50007,9,City ###,2017,7,30
21508,50008,15,City ###,2016,6,4
21509,50009,9,City ###,2020,11,7
21510,50010,7,City ###,2012,2,9
21511,50011,8,City ###,2012,2,12
21512,50012,6,City ###,2017,11,10
21513,50013,14,City ###,2021,12,1
21514,50014,3,City ###,2016,12,6
21515,50015,1,City ###,2016,1,12
21516,50016,10,City ###,2015,1,18
21517,50017,13,City ###,2015,6,20
21518,50018,18,City ###,2017,7,10
21519,50019,21,City ###,2017,12,24
21520,50020,1,City ###,2014,2,31
21521,50021,13,City ###,2017,3,18
21522,50022,16,City ###,2020,8,11
21523,50023,18,City ###,2018,3,14
21524,50024,3,City ###,2018,6,18
21525,50025,21,City ###,2010,9,26
21526,50001,17,City ###,2015,4,10
21527,50002,9,City ###,2013,4,27
21528,50003,12,City ###,2013,10,16
21529,50004,16,City ###,2013,1,1
21530,50005,1,City ###,2014,7,11
21531,50006,3,City ###,2012,12,5
21532,50007,12,City ###,2013,1,12
21533,50008,2,City ###,2021,11,12
21534,50009,2,City ###,2017,7,29
21535,50010,1,City ###,2012,6,19
21536,50011,18,City ###,2012,6,11
21537,50012,20,City ###,2017,7,13
21538,50013,12,City ###,2016,5,15
21539,50014,9,City ###,2013,8,3
21540,50015,18,City ###,2016,12,31
21541,50016,6,City ###,2012,7,27
21542,50017,7,City ###,2010,8,26
21543,50018,16,City ###,2019,12,5
21544,50019,21,City ###,2017,8,2
21545,50020,18,City ###,2014,9,24
21546,50021,14,City ###,2021,5,10
21547,50022,5,City ###,2018,11,8
21548,50023,14,City ###,2016,8,23
21549,50024,11,City ###,2020,9,7
21550,50025,11,City ###,2012,4,25
21551,50001,10,City ###,2013,4,11
21552,50002,1,City ###,2010,3,28
21553,50003,18,City ###,2016,7,1
21554,50004,9,City ###,2011,2,12
21555,50005,13,City ###,2011,8,5
21556,50006,20,City ###,2010,4,23
21557,50007,2,City ###,2015,9,1
21558,50008,12,City ###,2020,7,14
21559,50009,12,City ###,2019,5,3
21560,50010,10,City ###,2016,3,23
21561,50011,11,City ###,2021,10,2
21562,50012,4,City ###,2012,8,28
21563,50013,20,City ###,2011,1,18
21564,50014,11,City ###,2016,10,27
21565,50015,6,City ###,2019,12,12
21566,50016,19,City ###,2016,9,7
21567,50017,1,City ###,2011,7,13
21568,50018,18,City ###,2020,4,24
21569,50019,3,City ###,2019,3,11
21570,50020,18,City ###,2011,5,23
21571,50021,2,City ###,2012,7,4
21572,50022,19,City ###,2019,4,14
21573,50023,21,City ###,2016,4,31
21574,50024,10,City ###,2011,9,9
21575,50025,10,City ###,2017,9,18
21576,50001,12,City ###,2014,11,15
21577,50002,8,City ###,2011,11,23
21578,50003,12,City ###,2021,3,10
21579,50004,18,City ###,2019,3,11
21580,50005,19,City ###,2016,12,4
21581,50006,1,City ###,2014,6,17
21582,50007,19,City ###,2015,4,13
21583,50008,6,City ###,2019,11,14
21584,50009,10,City ###,2020,5,29
21585,50010,11,City ###,2017,6,28
21586,50011,19,City ###,2013,12,6
21587,50012,19,City ###,2017,2,12
21588,50013,1,City ###,2018,5,9
21589,50014,8,City ###,2011,6,30
21590,50015,6,City ###,2012,12,12
21591,50016,1,City ###,2010,5,11
21592,50017,4,City ###,2014,4,12
21593,50018,6,City ###,2019,2,7
21594,50019,14,City ###,2010,3,30
21595,50020,20,City ###,2011,4,13
21596,50021,5,City ###,2016,10,25
21597,50022,14,City ###,2014,11,19
21598,50023,7,City ###,2011,10,31
21599,50024,5,City ###,2020,6,13
21600,50025,14,City ###,2021,2,10
21601,50001,8,City ###,2011,11,30
21602,50002,20,City ###,2020,10,9
21603,50003,2,City ###,2017,6,30
21604,50004,3,City ###,2013,1,30
21605,50005,6,City ###,2015,9,18
21606,50006,9,City ###,2012,5,7
21607,50007,21,City ###,2019,11,31
21608,50008,4,City ###,2011,10,26
21609,50009,12,City ###,2016,8,6
21610,50010,11,City ###,2017,12,30
21611,50011,2,City ###,2011,3,15
21612,50012,7,City ###,2019,12,12
21613,50013,13,City ###,2010,7,19
21614,50014,3,City ###,2014,6,27
21615,50015,14,City ###,2011,7,29
21616,50016,9,City ###,2012,5,30
21617,50017,16,City ###,2014,10,2
21618,50018,13,City ###,2017,4,16
21619,50019,6,City ###,2018,7,24
21620,50020,5,City ###,2021,4,5
21621,50021,9,City ###,2010,6,12
21622,50022,21,City ###,2011,4,10
21623,50023,2,City ###,2013,1,29
21624,50024,7,City ###,2015,12,13
21625,50025,1,City ###,2018,8,12
21626,50001,5,City ###,2013,8,3
21627,50002,4,City ###,2012,11,21
21628,50003,7,City ###,2018,7,20
21629,50004,7,City ###,2014,1,3
21630,50005,11,City ###,2013,9,12
21631,50006,2,City ###,2016,9,20
21632,50007,8,City ###,2018,11,30
21633,50008,15,City ###,2017,2,29
21634,50009,1,City ###,2010,1,24
21635,50010,1,City ###,2010,6,31
21636,50011,5,City ###,2015,12,16
21637,50012,14,City ###,2014,11,22
21638,50013,3,City ###,2015,7,22
21639,50014,19,City ###,2012,5,16
21640,50015,10,City ###,2019,4,23
21641,50016,8,City ###,2020,2,26
21642,50017,21,City ###,2017,12,14
21643,50018,2,City ###,2016,3,21
21644,50019,5,City ###,2020,6,31
21645,50020,7,City ###,2011,3,27
21646,50021,2,City ###,2017,4,26
21647,50022,12,City ###,2016,6,26
21648,50023,4,City ###,2013,10,10
21649,50024,11,City ###,2012,12,27
21650,50025,15,City ###,2012,11,31
21651,50001,15,City ###,2021,4,15
21652,50002,6,City ###,2012,8,30
21653,50003,9,City ###,2013,8,7
21654,50004,12,City ###,2012,6,26
21655,50005,3,City ###,2016,6,3
21656,50006,18,City ###,2021,6,5
21657,50007,1,City ###,2018,6,1
21658,50008,1,City ###,2018,12,14
21659,50009,4,City ###,2015,5,19
21660,50010,20,City ###,2017,1,5
21661,50011,9,City ###,2017,8,13
21662,50012,8,City ###,2016,7,6
21663,50013,10,City ###,2012,8,23
21664,50014,18,City ###,2020,6,11
21665,50015,2,City ###,2018,12,7
21666,50016,9,City ###,2019,12,27
21667,50017,6,City ###,2016,4,20
21668,50018,3,City ###,2014,2,27
21669,50019,19,City ###,2016,1,24
21670,50020,2,City ###,2019,4,19
21671,50021,19,City ###,2015,3,25
21672,50022,17,City ###,2016,12,24
21673,50023,10,City ###,2018,7,5
21674,50024,4,City ###,2014,1,19
21675,50025,4,City ###,2010,9,30
21676,50001,17,City ###,2010,4,8
21677,50002,2,City ###,2015,8,21
21678,50003,19,City ###,2020,4,15
21679,50004,8,City ###,2011,2,20
21680,50005,21,City ###,2016,12,23
21681,50006,20,City ###,2021,5,14
21682,50007,7,City ###,2017,1,13
21683,50008,11,City ###,2018,6,1
21684,50009,18,City ###,2012,8,2
21685,50010,11,City ###,2017,2,20
21686,50011,18,City ###,2017,2,19
21687,50012,1,City ###,2018,10,3
21688,50013,9,City ###,2017,10,16
21689,50014,17,City ###,2018,4,21
21690,50015,16,City ###,2021,2,12
21691,50016,3,City ###,2012,5,17
21692,50017,9,City ###,2019,11,13
21693,50018,9,City ###,2021,4,15
21694,50019,6,City ###,2018,4,25
21695,50020,7,City ###,2016,4,18
21696,50021,18,City ###,2020,5,30
21697,50022,21,City ###,2011,1,27
21698,50023,6,City ###,2014,2,16
21699,50024,18,City ###,2015,12,2
21700,50025,10,City ###,2011,5,21
21701,50001,19,City ###,2021,11,2
21702,50002,2,City ###,2019,11,18
21703,50003,20,City ###,2020,8,29
21704,50004,13,City ###,2021,7,6
21705,50005,15,City ###,2020,5,8
21706,50006,11,City ###,2016,10,16
21707,50007,15,City ###,2015,3,10
21708,50008,6,City ###,2020,8,23
21709,50009,13,City ###,2014,2,12
21710,50010,9,City ###,2019,3,27
21711,50011,16,City ###,2014,9,8
21712,50012,16,City ###,2011,4,8
21713,50013,21,City ###,2018,10,30
21714,50014,8,City ###,2013,11,19
21715,50015,10,City ###,2021,9,11
21716,50016,10,City ###,2014,11,18
21717,50017,7,City ###,2020,2,13
21718,50018,21,City ###,2015,6,31
21719,50019,19,City ###,2010,4,12
21720,50020,6,City ###,2018,10,7
21721,50021,10,City ###,2021,9,8
21722,50022,16,City ###,2013,3,23
21723,50023,13,City ###,2021,3,7
21724,50024,16,City ###,2018,8,6
21725,50025,2,City ###,2014,5,22
21726,50001,19,City ###,2016,2,13
21727,50002,17,City ###,2010,6,3
21728,50003,4,City ###,2012,5,15
21729,50004,2,City ###,2012,4,23
21730,50005,19,City ###,2021,8,2
21731,50006,3,City ###,2021,12,30
21732,50007,20,City ###,2012,8,19
21733,50008,12,City ###,2021,2,1
21734,50009,3,City ###,2010,1,30
