paperID,journalID,volume,year
20260,60010,6,2014
20261,60011,2,2012
20262,60012,20,2011
20263,60013,12,2015
20264,60014,1,2010
20265,60015,10,2013
20266,60016,14,2021
20267,60017,19,2021
20268,60018,17,2015
20269,60019,8,2021
20270,60020,13,2017
20271,60021,1,2016
20272,60022,10,2020
20273,60023,19,2021
20274,60024,5,2015
20275,60025,3,2010
20276,60001,13,2016
20277,60002,19,2016
20278,60003,7,2018
20279,60004,15,2010
20280,60005,9,2016
20281,60006,16,2013
20282,60007,9,2010
20283,60008,18,2015
20284,60009,7,2018
20285,60010,11,2014
20286,60011,12,2017
20287,60012,13,2018
20288,60013,9,2011
20289,60014,17,2013
20290,60015,9,2016
20291,60016,15,2016
20292,60017,13,2013
20293,60018,6,2011
20294,60019,12,2013
20295,60020,14,2018
20296,60021,21,2021
20297,60022,3,2021
20298,60023,7,2020
20299,60024,20,2017
20300,60025,3,2011
20301,60001,2,2018
20302,60002,19,2016
20303,60003,5,2014
20304,60004,2,2010
20305,60005,21,2011
20306,60006,11,2012
20307,60007,17,2020
20308,60008,16,2010
20309,60009,18,2017
20310,60010,9,2020
20311,60011,3,2016
20312,60012,10,2013
20313,60013,2,2021
20314,60014,12,2010
20315,60015,10,2011
20316,60016,3,2019
20317,60017,14,2015
20318,60018,19,2020
20319,60019,19,2014
20320,60020,20,2018
20321,60021,18,2014
20322,60022,14,2012
20323,60023,2,2018
20324,60024,16,2011
20325,60025,10,2019
20326,60001,21,2021
20327,60002,14,2018
20328,60003,18,2020
20329,60004,21,2016
20330,60005,1,2021
20331,60006,3,2015
20332,60007,21,2016
20333,60008,21,2012
20334,60009,10,2019
20335,60010,19,2017
20336,60011,6,2014
20337,60012,19,2012
20338,60013,3,2014
20339,60014,13,2012
20340,60015,16,2021
20341,60016,19,2018
20342,60017,21,2016
20343,60018,14,2017
20344,60019,16,2018
20345,60020,18,2017
20346,60021,9,2010
20347,60022,6,2011
20348,60023,3,2014
20349,60024,14,2014
20350,60025,7,2012
20351,60001,15,2013
20352,60002,19,2020
20353,60003,14,2014
20354,60004,21,2016
20355,60005,14,2010
20356,60006,4,2018
20357,60007,6,2021
20358,60008,19,2019
20359,60009,13,2020
20360,60010,1,2012
20361,60011,13,2010
20362,60012,19,2013
20363,60013,13,2015
20364,60014,19,2014
20365,60015,16,2017
20366,60016,19,2010
20367,60017,10,2019
20368,60018,12,2013
20369,60019,18,2019
20370,60020,19,2012
20371,60021,1,2015
20372,60022,15,2016
20373,60023,8,2016
20374,60024,17,2011
20375,60025,19,2015
20376,60001,21,2018
20377,60002,17,2011
20378,60003,14,2017
20379,60004,7,2016
20380,60005,7,2020
20381,60006,5,2021
20382,60007,12,2021
20383,60008,3,2015
20384,60009,10,2014
20385,60010,9,2018
20386,60011,14,2010
20387,60012,7,2016
20388,60013,1,2013
20389,60014,12,2016
20390,60015,21,2017
20391,60016,16,2016
20392,60017,14,2018
20393,60018,8,2010
20394,60019,10,2017
20395,60020,20,2020
20396,60021,11,2021
20397,60022,21,2020
20398,60023,1,2012
20399,60024,7,2012
20400,60025,4,2016
20401,60001,1,2015
20402,60002,14,2014
20403,60003,3,2010
20404,60004,6,2011
20405,60005,9,2018
20406,60006,15,2011
20407,60007,16,2018
20408,60008,19,2015
20409,60009,12,2016
20410,60010,15,2017
20411,60011,5,2020
20412,60012,18,2011
20413,60013,12,2020
20414,60014,17,2019
20415,60015,2,2015
20416,60016,10,2011
20417,60017,1,2017
20418,60018,2,2014
20419,60019,1,2018
20420,60020,19,2010
20421,60021,21,2020
20422,60022,18,2016
20423,60023,6,2012
20424,60024,19,2010
20425,60025,12,2010
20426,60001,4,2010
20427,60002,18,2012
20428,60003,21,2012
20429,60004,10,2017
20430,60005,7,2014
20431,60006,16,2017
20432,60007,4,2012
20433,60008,4,2013
20434,60009,13,2019
20435,60010,15,2011
20436,60011,11,2014
20437,60012,4,2011
20438,60013,6,2011
20439,60014,2,2017
20440,60015,15,2015
20441,60016,1,2013
20442,60017,18,2013
20443,60018,2,2017
20444,60019,3,2013
20445,60020,16,2013
20446,60021,7,2020
20447,60022,4,2011
20448,60023,14,2020
20449,60024,8,2020
20450,60025,2,2016
20451,60001,9,2013
20452,60002,7,2018
20453,60003,4,2020
20454,60004,17,2010
20455,60005,19,2018
20456,60006,15,2020
20457,60007,4,2012
20458,60008,14,2010
20459,60009,6,2013
20460,60010,19,2015
20461,60011,10,2017
20462,60012,2,2015
20463,60013,10,2019
20464,60014,8,2011
20465,60015,16,2011
20466,60016,9,2013
20467,60017,12,2017
20468,60018,7,2018
20469,60019,20,2013
20470,60020,17,2020
20471,60021,12,2015
20472,60022,5,2020
20473,60023,3,2012
20474,60024,15,2011
20475,60025,6,2018
20476,60001,9,2011
20477,60002,4,2012
20478,60003,1,2013
20479,60004,12,2014
20480,60005,15,2018
20481,60006,9,2010
20482,60007,11,2019
20483,60008,3,2015
20484,60009,11,2014
20485,60010,3,2013
20486,60011,19,2010
20487,60012,4,2012
20488,60013,1,2015
20489,60014,3,2013
20490,60015,16,2019
20491,60016,9,2019
20492,60017,17,2015
20493,60018,14,2018
20494,60019,19,2019
20495,60020,13,2013
20496,60021,16,2010
20497,60022,5,2017
20498,60023,5,2013
20499,60024,6,2011
20500,60025,7,2010
20501,60001,15,2012
20502,60002,8,2016
20503,60003,18,2010
20504,60004,21,2019
20505,60005,20,2012
20506,60006,16,2012
20507,60007,6,2011
20508,60008,15,2012
20509,60009,10,2011
20510,60010,2,2019
20511,60011,19,2012
20512,60012,17,2016
20513,60013,16,2012
20514,60014,6,2015
20515,60015,5,2010
20516,60016,3,2014
20517,60017,7,2012
20518,60018,2,2011
20519,60019,4,2014
20520,60020,2,2016
20521,60021,20,2012
20522,60022,5,2014
20523,60023,14,2020
20524,60024,6,2021
20525,60025,12,2013
20526,60001,13,2017
20527,60002,1,2016
20528,60003,18,2020
20529,60004,5,2011
20530,60005,5,2012
20531,60006,20,2018
20532,60007,21,2016
20533,60008,12,2018
20534,60009,18,2019
20535,60010,14,2017
20536,60011,13,2016
20537,60012,13,2017
20538,60013,8,2016
20539,60014,7,2021
20540,60015,21,2020
20541,60016,20,2013
20542,60017,8,2010
20543,60018,1,2015
20544,60019,12,2010
20545,60020,9,2019
20546,60021,14,2018
20547,60022,12,2013
20548,60023,6,2016
20549,60024,10,2012
20550,60025,2,2018
20551,60001,8,2014
20552,60002,3,2015
20553,60003,8,2016
20554,60004,18,2017
20555,60005,21,2010
20556,60006,4,2013
20557,60007,7,2012
20558,60008,13,2013
20559,60009,4,2013
20560,60010,3,2020
20561,60011,13,2014
20562,60012,14,2021
20563,60013,16,2012
20564,60014,20,2017
20565,60015,17,2019
20566,60016,1,2015
20567,60017,3,2011
20568,60018,14,2013
20569,60019,2,2014
20570,60020,19,2019
20571,60021,11,2010
20572,60022,12,2015
20573,60023,19,2019
20574,60024,14,2021
20575,60025,16,2015
20576,60001,17,2016
20577,60002,20,2021
20578,60003,7,2018
20579,60004,9,2016
20580,60005,8,2018
20581,60006,8,2017
20582,60007,14,2020
20583,60008,5,2018
20584,60009,15,2021
20585,60010,16,2012
20586,60011,17,2018
20587,60012,20,2014
20588,60013,12,2015
20589,60014,14,2017
20590,60015,4,2013
20591,60016,15,2020
20592,60017,7,2014
20593,60018,12,2017
20594,60019,21,2018
20595,60020,5,2015
20596,60021,18,2011
20597,60022,20,2011
20598,60023,12,2010
20599,60024,11,2019
20600,60025,12,2018
20601,60001,2,2020
20602,60002,9,2014
20603,60003,18,2016
20604,60004,6,2010
20605,60005,8,2012
20606,60006,12,2010
20607,60007,8,2016
20608,60008,8,2013
20609,60009,7,2012
20610,60010,20,2018
20611,60011,9,2010
20612,60012,19,2015
20613,60013,19,2015
20614,60014,13,2020
20615,60015,8,2019
20616,60016,15,2012
20617,60017,13,2020
20618,60018,21,2011
20619,60019,21,2018
20620,60020,6,2020
20621,60021,1,2015
20622,60022,2,2015
20623,60023,20,2019
20624,60024,1,2016
20625,60025,18,2013
20626,60001,3,2020
20627,60002,1,2014
20628,60003,1,2017
20629,60004,15,2015
20630,60005,15,2010
20631,60006,21,2015
20632,60007,2,2020
20633,60008,18,2021
20634,60009,13,2021
20635,60010,8,2016
20636,60011,5,2017
20637,60012,1,2019
20638,60013,13,2012
20639,60014,14,2015
20640,60015,1,2019
20641,60016,6,2017
20642,60017,8,2013
20643,60018,15,2014
20644,60019,2,2011
20645,60020,3,2016
20646,60021,4,2014
20647,60022,11,2010
20648,60023,3,2015
20649,60024,8,2018
20650,60025,6,2015
20651,60001,1,2014
20652,60002,3,2010
20653,60003,20,2011
20654,60004,1,2020
20655,60005,19,2020
20656,60006,2,2012
20657,60007,12,2017
20658,60008,7,2012
20659,60009,16,2019
20660,60010,20,2015
20661,60011,5,2011
20662,60012,8,2019
20663,60013,12,2021
20664,60014,17,2013
20665,60015,11,2016
20666,60016,18,2018
20667,60017,17,2014
20668,60018,11,2018
20669,60019,9,2021
20670,60020,20,2010
20671,60021,3,2016
20672,60022,2,2013
20673,60023,5,2013
20674,60024,15,2017
20675,60025,6,2020
20676,60001,7,2017
20677,60002,6,2011
20678,60003,21,2012
20679,60004,15,2017
20680,60005,17,2018
20681,60006,7,2020
20682,60007,17,2015
20683,60008,2,2017
20684,60009,20,2019
20685,60010,16,2017
20686,60011,12,2017
20687,60012,19,2019
20688,60013,5,2012
20689,60014,12,2011
20690,60015,4,2013
20691,60016,9,2012
20692,60017,13,2018
20693,60018,15,2015
20694,60019,5,2021
20695,60020,7,2013
20696,60021,2,2020
20697,60022,4,2018
20698,60023,17,2014
20699,60024,1,2014
20700,60025,1,2021
20701,60001,11,2019
20702,60002,10,2018
20703,60003,1,2014
20704,60004,1,2016
20705,60005,2,2012
20706,60006,9,2012
20707,60007,19,2012
20708,60008,10,2019
20709,60009,6,2018
20710,60010,3,2019
20711,60011,10,2015
20712,60012,19,2017
20713,60013,20,2013
20714,60014,8,2012
20715,60015,11,2015
20716,60016,4,2015
20717,60017,10,2021
20718,60018,18,2011
20719,60019,5,2021
20720,60020,18,2018
20721,60021,10,2016
20722,60022,13,2016
20723,60023,11,2019
20724,60024,1,2011
20725,60025,5,2017
20726,60001,6,2010
20727,60002,1,2020
20728,60003,1,2014
20729,60004,3,2012
20730,60005,11,2010
20731,60006,19,2016
20732,60007,11,2021
20733,60008,19,2020
20734,60009,11,2020
20735,60010,8,2018
20736,60011,7,2017
20737,60012,14,2019
20738,60013,4,2021
20739,60014,5,2015
20740,60015,15,2018
20741,60016,11,2017
20742,60017,15,2017
20743,60018,7,2015
20744,60019,16,2012
20745,60020,18,2011
20746,60021,11,2015
20747,60022,20,2017
20748,60023,21,2017
20749,60024,5,2011
20750,60025,21,2017
20751,60001,19,2017
20752,60002,13,2018
20753,60003,11,2012
20754,60004,19,2013
20755,60005,14,2016
20756,60006,19,2018
20757,60007,14,2021
20758,60008,16,2010
20759,60009,2,2013
20760,60010,18,2021
20761,60011,15,2010
20762,60012,20,2011
20763,60013,21,2015
20764,60014,12,2021
20765,60015,12,2013
20766,60016,15,2018
20767,60017,10,2014
20768,60018,1,2018
20769,60019,1,2013
20770,60020,15,2014
20771,60021,5,2013
20772,60022,15,2011
20773,60023,12,2012
20774,60024,17,2013
20775,60025,10,2019
20776,60001,13,2016
20777,60002,6,2013
20778,60003,1,2020
20779,60004,5,2010
20780,60005,8,2012
20781,60006,13,2019
20782,60007,17,2010
20783,60008,12,2015
20784,60009,13,2018
20785,60010,2,2015
20786,60011,17,2014
20787,60012,2,2015
20788,60013,7,2010
20789,60014,20,2015
20790,60015,5,2021
20791,60016,18,2014
20792,60017,18,2020
20793,60018,13,2020
20794,60019,12,2015
20795,60020,19,2017
20796,60021,20,2015
20797,60022,1,2018
20798,60023,8,2014
20799,60024,21,2013
20800,60025,14,2017
20801,60001,3,2021
20802,60002,18,2017
20803,60003,8,2021
20804,60004,3,2015
20805,60005,5,2020
20806,60006,6,2016
20807,60007,5,2017
20808,60008,7,2017
20809,60009,4,2020
20810,60010,8,2021
20811,60011,20,2020
20812,60012,11,2017
20813,60013,1,2021
20814,60014,19,2016
20815,60015,9,2016
20816,60016,1,2015
20817,60017,5,2010
20818,60018,8,2017
20819,60019,19,2020
20820,60020,14,2019
20821,60021,3,2021
20822,60022,4,2019
20823,60023,19,2017
20824,60024,10,2013
20825,60025,16,2020
20826,60001,17,2019
20827,60002,10,2010
20828,60003,16,2019
20829,60004,12,2020
20830,60005,15,2013
20831,60006,17,2017
20832,60007,13,2011
20833,60008,13,2017
20834,60009,6,2019
20835,60010,21,2020
20836,60011,2,2013
20837,60012,16,2010
20838,60013,18,2018
20839,60014,20,2010
20840,60015,7,2021
20841,60016,8,2013
20842,60017,8,2017
20843,60018,3,2019
20844,60019,20,2011
20845,60020,7,2017
20846,60021,21,2015
20847,60022,16,2019
20848,60023,14,2012
20849,60024,9,2010
20850,60025,20,2013
20851,60001,18,2020
20852,60002,17,2014
20853,60003,12,2014
20854,60004,18,2013
20855,60005,8,2013
20856,60006,4,2020
20857,60007,10,2019
20858,60008,18,2021
20859,60009,14,2020
20860,60010,18,2012
20861,60011,13,2018
20862,60012,7,2011
20863,60013,17,2021
20864,60014,15,2015
20865,60015,13,2020
20866,60016,5,2018
20867,60017,16,2013
20868,60018,12,2020
20869,60019,21,2015
20870,60020,8,2016
20871,60021,3,2016
20872,60022,20,2013
20873,60023,6,2011
20874,60024,17,2012
20875,60025,4,2015
20876,60001,8,2011
20877,60002,21,2017
20878,60003,9,2018
20879,60004,21,2013
20880,60005,16,2012
20881,60006,4,2020
20882,60007,13,2016
20883,60008,9,2011
20884,60009,5,2014
20885,60010,8,2020
20886,60011,5,2011
20887,60012,12,2017
20888,60013,15,2020
20889,60014,8,2019
20890,60015,5,2019
20891,60016,15,2013
20892,60017,10,2021
20893,60018,11,2014
20894,60019,2,2011
20895,60020,3,2012
20896,60021,7,2010
20897,60022,9,2014
20898,60023,21,2012
20899,60024,14,2014
20900,60025,16,2010
20901,60001,18,2016
20902,60002,8,2013
20903,60003,5,2019
20904,60004,12,2019
20905,60005,13,2011
20906,60006,7,2018
20907,60007,3,2014
20908,60008,8,2016
20909,60009,18,2018
20910,60010,9,2019
20911,60011,13,2019
20912,60012,7,2015
20913,60013,5,2018
20914,60014,8,2021
20915,60015,10,2018
20916,60016,15,2017
20917,60017,2,2021
20918,60018,8,2018
20919,60019,3,2018
20920,60020,21,2013
20921,60021,15,2015
20922,60022,13,2015
20923,60023,2,2020
20924,60024,10,2015
20925,60025,3,2011
20926,60001,16,2016
20927,60002,7,2020
20928,60003,16,2020
20929,60004,3,2011
20930,60005,9,2017
20931,60006,15,2013
20932,60007,8,2017
20933,60008,14,2013
20934,60009,3,2018
20935,60010,16,2019
20936,60011,12,2013
20937,60012,20,2015
20938,60013,18,2014
20939,60014,19,2016
20940,60015,1,2016
20941,60016,12,2021
20942,60017,16,2015
20943,60018,8,2021
20944,60019,2,2017
20945,60020,8,2010
20946,60021,2,2017
20947,60022,21,2014
20948,60023,2,2021
20949,60024,3,2019
20950,60025,12,2015
20951,60001,17,2016
20952,60002,2,2013
20953,60003,6,2019
20954,60004,20,2015
20955,60005,2,2019
20956,60006,4,2020
20957,60007,2,2013
20958,60008,7,2016
20959,60009,11,2020
20960,60010,18,2015
20961,60011,21,2016
20962,60012,11,2013
20963,60013,20,2016
20964,60014,5,2013
20965,60015,17,2017
20966,60016,5,2021
20967,60017,9,2010
20968,60018,19,2011
20969,60019,9,2010
20970,60020,19,2016
20971,60021,20,2019
20972,60022,9,2021
20973,60023,1,2013
20974,60024,11,2016
20975,60025,13,2013
20976,60001,21,2021
20977,60002,7,2017
20978,60003,2,2012
20979,60004,4,2018
20980,60005,17,2019
20981,60006,16,2020
20982,60007,16,2018
20983,60008,21,2021
20984,60009,8,2012
20985,60010,1,2012
20986,60011,18,2010
20987,60012,2,2012
20988,60013,19,2018
20989,60014,6,2020
20990,60015,18,2011
20991,60016,9,2020
20992,60017,14,2010
20993,60018,19,2010
20994,60019,20,2018
20995,60020,10,2015
20996,60021,8,2014
20997,60022,12,2012
20998,60023,4,2014
20999,60024,1,2012
21000,60025,15,2016
